UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1532,H30945,H,298.1,309,1438,41.4,60,0,No Failure
1533,M16392,M,298.1,308.9,1417,39.2,65,0,No Failure
1534,M16393,M,298,308.9,1339,51.4,68,0,No Failure
1535,L48714,L,298,308.8,1757,29.1,71,0,No Failure
1536,L48715,L,298,308.8,1581,36.1,73,0,No Failure
1537,M16396,M,298.2,308.9,1326,54.4,75,0,No Failure
1538,M16397,M,298.4,309.1,1467,39.6,78,0,No Failure
1539,L48718,L,298.4,309.1,1798,29.6,81,0,No Failure
1540,M16399,M,298.5,309.2,1449,46.4,83,0,No Failure
1541,M16400,M,298.4,309.1,1525,39.3,86,0,No Failure
1542,L48721,L,298.4,309,2304,15.1,89,0,No Failure
1543,L48722,L,298.3,308.9,1379,54.7,91,0,No Failure
1544,L48723,L,298.4,308.9,1628,34.9,93,0,No Failure
1545,L48724,L,298.4,309,1474,52.7,95,0,No Failure
1546,M16405,M,298.4,309,1544,38.8,97,0,No Failure
1547,L48726,L,298.4,308.9,1391,48.4,100,0,No Failure
1548,L48727,L,298.3,308.9,1348,55.5,102,0,No Failure
1549,M16408,M,298.3,308.8,1349,52.1,104,0,No Failure
1550,L48729,L,298.4,308.9,1706,29.5,107,0,No Failure
1551,L48730,L,298.4,308.9,1638,32.4,109,0,No Failure
1552,L48731,L,298.4,308.8,1458,40.1,111,0,No Failure
1553,L48732,L,298.5,308.9,1781,27.8,113,0,No Failure
1554,L48733,L,298.5,308.8,1332,59.1,115,0,No Failure
1555,M16414,M,298.4,308.7,1584,31.7,117,0,No Failure
1556,L48735,L,298.4,308.6,1491,42,120,0,No Failure
1557,H30970,H,298.4,308.5,1398,47.1,122,0,No Failure
1558,L48737,L,298.3,308.4,1585,30.6,127,0,No Failure
1559,M16418,M,298.2,308.3,1476,43.5,129,0,No Failure
1560,L48739,L,298.2,308.3,1458,41.8,132,0,No Failure
1561,M16420,M,298.2,308.4,1510,39.9,134,0,No Failure
1562,L48741,L,298.2,308.4,1388,53.8,137,0,No Failure
1563,L48742,L,298.2,308.3,2216,16.8,139,0,No Failure
1564,L48743,L,298.2,308.3,1402,51,141,0,No Failure
1565,M16424,M,298,308.2,2090,19,143,0,No Failure
1566,L48745,L,298,308.2,1459,42.1,146,0,No Failure
1567,M16426,M,298,308.1,1403,44.8,148,0,No Failure
1568,L48747,L,298.1,308.2,1521,39.3,151,0,No Failure
1569,L48748,L,298.2,308.2,1407,47.1,153,0,No Failure
1570,M16429,M,298.1,308.2,1654,35.3,155,0,No Failure
1571,L48750,L,298.2,308.4,1452,43.5,158,0,No Failure
1572,L48751,L,298.3,308.4,1528,37.3,160,0,No Failure
1573,L48752,L,298.2,308.3,1230,59.6,162,0,No Failure
1574,L48753,L,298.2,308.2,1466,42.4,164,0,No Failure
1575,L48754,L,298.2,308.2,1478,50.1,166,0,No Failure
1576,L48755,L,298.2,308.3,2057,18,168,0,No Failure
1577,L48756,L,298.3,308.4,1490,41.7,170,0,No Failure
1578,L48757,L,298.3,308.4,1484,43.4,172,0,No Failure
1579,L48758,L,298.3,308.4,1593,37,174,0,No Failure
1580,L48759,L,298.3,308.3,1444,43.8,176,0,No Failure
1581,M16440,M,298.3,308.4,1444,47.5,178,0,No Failure
1582,M16441,M,298.2,308.3,1560,33,181,0,No Failure
1583,H30996,H,298.1,308.3,1530,42,184,0,No Failure
1584,L48763,L,298.2,308.4,1310,61,189,1,Overstrain Failure
1585,M16444,M,298.2,308.3,1639,33.3,191,0,No Failure
1586,L48765,L,298.2,308.3,1400,48.7,194,0,No Failure
1587,M16446,M,298.3,308.4,1486,44.2,196,0,No Failure
1588,M16447,M,298.2,308.3,1448,43.3,199,0,No Failure
1589,L48768,L,298.2,308.3,1688,32,202,0,No Failure
1590,M16449,M,298.1,308.3,1453,41.5,204,0,No Failure
1591,L48770,L,298.2,308.4,1497,37.7,207,0,No Failure
1592,L48771,L,298.2,308.4,1355,49.4,209,0,No Failure
1593,L48772,L,298.1,308.4,1592,38.2,211,0,No Failure
1594,L48773,L,298,308.3,1544,34.7,213,0,No Failure
1595,M16454,M,298,308.2,1373,51.2,215,0,No Failure
1596,L48775,L,298,308.2,1365,52.9,218,1,Overstrain Failure
1597,L48776,L,298,308.1,1877,24.3,0,0,No Failure
1598,L48777,L,297.9,308.1,1531,40.8,2,0,No Failure
1599,L48778,L,297.9,308,1501,36.7,4,0,No Failure
1600,L48779,L,297.9,308,1490,46.2,6,0,No Failure
1601,M16460,M,297.8,307.8,1543,43.7,8,0,No Failure
1602,L48781,L,297.8,307.8,1597,38.2,11,0,No Failure
1603,H31016,H,297.8,307.9,1600,33.5,13,0,No Failure
1604,M16463,M,297.8,307.8,1622,32.1,18,0,No Failure
1605,L48784,L,297.8,307.8,1452,39.8,21,0,No Failure
1606,L48785,L,297.8,307.8,1396,42.5,23,0,No Failure
1607,L48786,L,297.8,307.7,1505,39.7,25,0,No Failure
1608,L48787,L,297.8,307.8,1412,48.3,27,0,No Failure
1609,L48788,L,297.8,307.7,1393,38,29,0,No Failure
1610,L48789,L,297.7,307.7,1581,34.9,31,0,No Failure
1611,L48790,L,297.8,307.8,1573,37.9,33,0,No Failure
1612,M16471,M,297.8,307.9,1726,27.3,35,0,No Failure
1613,M16472,M,297.9,307.9,1540,39.8,38,0,No Failure
1614,L48793,L,297.9,308,1296,62.9,41,0,No Failure
1615,M16474,M,297.8,307.9,1802,25.8,43,0,No Failure
1616,L48795,L,297.8,307.9,1447,48.6,46,0,No Failure
1617,H31030,H,297.8,307.8,1662,30.7,48,0,No Failure
1618,L48797,L,297.8,307.8,1563,34.3,53,0,No Failure
1619,L48798,L,297.9,307.8,1286,59.5,55,0,No Failure
1620,L48799,L,297.9,307.7,1590,34.6,57,0,No Failure
1621,L48800,L,297.9,307.7,1492,43.7,59,0,No Failure
1622,L48801,L,297.7,307.6,1844,21.9,61,0,No Failure
1623,H31036,H,297.7,307.6,1538,38.3,63,0,No Failure
1624,L48803,L,297.7,307.6,1921,22.9,68,0,No Failure
1625,M16484,M,297.8,307.8,1310,57.9,70,0,No Failure
1626,L48805,L,297.9,307.8,1365,46.9,73,0,No Failure
1627,M16486,M,297.9,307.8,1303,59.3,75,0,No Failure
1628,L48807,L,297.9,307.8,1499,37.5,78,0,No Failure
1629,L48808,L,297.9,307.8,1451,38.2,80,0,No Failure
1630,M16489,M,297.9,307.9,1336,54.4,82,0,No Failure
1631,L48810,L,297.9,307.9,1412,44.5,85,0,No Failure
1632,L48811,L,298,308,1433,39.2,87,0,No Failure
1633,L48812,L,297.9,307.9,1426,43.6,89,0,No Failure
1634,L48813,L,297.9,307.9,1476,45.2,91,0,No Failure
1635,H31048,H,297.9,307.9,1406,58.5,93,0,No Failure
1636,L48815,L,297.8,307.8,1383,56.5,98,0,No Failure
1637,L48816,L,297.9,307.8,1505,37.3,100,0,No Failure
1638,L48817,L,297.9,307.8,1665,33.9,102,0,No Failure
1639,L48818,L,297.9,307.8,1397,45,104,0,No Failure
1640,M16499,M,297.9,307.8,1450,43.5,106,0,No Failure
1641,L48820,L,298,307.8,1567,36.4,109,0,No Failure
1642,M16501,M,298,308,1555,37,111,0,No Failure
1643,H31056,H,298,307.8,1588,35.4,114,0,No Failure
1644,L48823,L,298,307.8,1453,37.7,119,0,No Failure
1645,L48824,L,298,307.8,1622,33.3,121,0,No Failure
1646,L48825,L,297.9,307.8,1538,38.5,123,0,No Failure
1647,M16506,M,297.9,307.7,1527,42.8,125,0,No Failure
1648,L48827,L,297.8,307.8,1761,28.9,128,0,No Failure
1649,L48828,L,297.9,307.8,1373,50.2,130,0,No Failure
1650,H31063,H,298,307.9,1482,37.8,132,0,No Failure
1651,M16510,M,298,307.9,1417,51,137,0,No Failure
1652,L48831,L,298,307.8,1414,51.7,140,0,No Failure
1653,H31066,H,297.9,307.8,1635,34,142,0,No Failure
1654,L48833,L,298,307.8,1386,57.3,147,0,No Failure
1655,L48834,L,298.2,308.1,1379,62.3,149,0,No Failure
1656,M16515,M,298.2,308,1577,35.9,151,0,No Failure
1657,L48836,L,298.2,308.1,1532,42.5,154,0,No Failure
1658,M16517,M,298.1,308,1374,48.8,156,0,No Failure
1659,H31072,H,298.1,308,1570,35.3,159,0,No Failure
1660,L48839,L,298.1,308,1697,31,164,0,No Failure
1661,L48840,L,298.2,308,1499,44.1,166,0,No Failure
1662,M16521,M,298.2,308,1411,47.2,168,0,No Failure
1663,H31076,H,298.2,307.9,1462,45.5,171,0,No Failure
1664,M16523,M,298.1,307.9,1759,28.6,176,0,No Failure
1665,L48844,L,298.2,308,1535,38,179,0,No Failure
1666,H31079,H,298.2,307.9,1491,39.7,181,0,No Failure
1667,L48846,L,298.2,307.9,1551,36,186,0,No Failure
1668,L48847,L,298.2,307.9,1769,27.2,188,0,No Failure
1669,L48848,L,298.2,307.9,1551,34.1,190,0,No Failure
1670,L48849,L,298.2,307.9,1544,31.4,192,0,No Failure
1671,L48850,L,298.2,307.8,1528,31.1,194,0,No Failure
1672,L48851,L,298.1,307.9,1614,35.8,196,0,No Failure
1673,L48852,L,298.1,307.8,1432,49.8,198,0,No Failure
1674,M16533,M,298.1,307.8,1384,43.7,200,0,No Failure
1675,L48854,L,298.1,307.8,1540,37.8,203,0,No Failure
1676,L48855,L,298,307.7,1407,43.9,205,0,No Failure
1677,H31090,H,297.9,307.6,1418,43,207,0,No Failure
1678,M16537,M,297.9,307.5,1647,30.8,212,0,No Failure
1679,L48858,L,298,307.5,1644,32.8,215,0,No Failure
1680,L48859,L,298,307.5,1792,27.9,217,0,No Failure
1681,M16540,M,297.9,307.4,1610,34.6,219,0,No Failure
1682,M16541,M,297.8,307.3,1804,26,222,0,No Failure
1683,H31096,H,297.9,307.4,1604,36.1,225,1,Tool Wear Failure
1684,M16543,M,297.9,307.4,1403,52.8,0,0,No Failure
1685,L48864,L,297.8,307.3,1438,44.5,3,0,No Failure
1686,L48865,L,297.9,307.3,1824,26.3,5,0,No Failure
1687,H31100,H,297.9,307.3,1663,28.7,7,0,No Failure
1688,L48867,L,297.9,307.3,1502,36.7,12,0,No Failure
1689,L48868,L,297.9,307.4,1606,35.5,14,0,No Failure
1690,L48869,L,297.9,307.5,1561,37.7,16,0,No Failure
1691,M16550,M,297.9,307.4,1435,42.9,18,0,No Failure
1692,L48871,L,297.9,307.5,1602,38.3,21,0,No Failure
1693,M16552,M,298.1,307.6,1764,27.7,23,0,No Failure
1694,H31107,H,298,307.5,1683,27.8,26,0,No Failure
1695,L48874,L,298,307.5,1618,35.2,31,0,No Failure
1696,L48875,L,298,307.6,1509,41.6,33,0,No Failure
1697,L48876,L,297.9,307.6,1550,39,35,0,No Failure
1698,M16557,M,297.9,307.6,1519,44,37,0,No Failure
1699,L48878,L,297.9,307.6,1481,38,40,0,No Failure
1700,L48879,L,298.1,307.7,1289,48.3,42,0,No Failure
1701,M16560,M,298,307.6,1844,23.8,44,0,No Failure
1702,L48881,L,298,307.7,1479,42.5,47,0,No Failure
1703,L48882,L,298,307.7,1430,47.3,49,0,No Failure
1704,M16563,M,298.1,307.8,1636,36.7,51,0,No Failure
1705,M16564,M,298.1,307.8,1503,44.7,54,0,No Failure
1706,M16565,M,298.1,307.8,1608,32.6,57,0,No Failure
1707,L48886,L,298.2,307.8,1521,42.9,60,0,No Failure
1708,L48887,L,298.2,307.8,1439,41.6,62,0,No Failure
1709,L48888,L,298.2,307.8,1627,31.5,64,0,No Failure
1710,L48889,L,298.2,307.8,1749,26.1,66,0,No Failure
1711,L48890,L,298.2,307.8,1530,35.9,68,0,No Failure
1712,L48891,L,298.2,307.8,1355,51.3,70,0,No Failure
1713,L48892,L,298.3,307.9,1551,33.8,72,0,No Failure
1714,L48893,L,298.2,307.8,1515,46.7,74,0,No Failure
1715,L48894,L,298.2,307.8,1388,48.6,76,0,No Failure
1716,L48895,L,298.2,307.8,1585,34.6,78,0,No Failure
1717,L48896,L,298.1,307.7,1523,37.7,80,0,No Failure
1718,L48897,L,298.2,307.6,1369,54.5,82,0,No Failure
1719,M16578,M,298.2,307.7,1681,31,84,0,No Failure
1720,L48899,L,298.2,307.7,1503,38.3,87,0,No Failure
1721,L48900,L,298.2,307.7,1459,44.5,89,0,No Failure
1722,L48901,L,298.2,307.7,1688,32.4,91,0,No Failure
1723,M16582,M,298.2,307.7,1952,21.6,93,0,No Failure
1724,L48903,L,298.2,307.8,2029,19.9,96,0,No Failure
1725,M16584,M,298.3,307.8,1457,52.5,98,0,No Failure
1726,M16585,M,298.3,307.8,1392,50.4,101,0,No Failure
1727,L48906,L,298.3,307.8,1906,22.1,104,0,No Failure
1728,M16587,M,298.3,307.7,1602,33.4,106,0,No Failure
1729,L48908,L,298.3,307.7,1465,49.4,109,0,No Failure
1730,M16589,M,298.3,307.7,1439,43.8,111,0,No Failure
1731,M16590,M,298.3,307.8,1330,55.4,114,0,No Failure
1732,M16591,M,298.3,307.9,1485,42,117,0,No Failure
1733,H31146,H,298.4,307.9,1700,28.2,120,0,No Failure
1734,L48913,L,298.4,308,1515,42.8,125,0,No Failure
1735,M16594,M,298.5,308.1,1501,39.2,127,0,No Failure
1736,L48915,L,298.4,308,1380,47.6,130,0,No Failure
1737,L48916,L,298.4,307.9,1544,35.9,132,0,No Failure
1738,L48917,L,298.4,307.9,1743,27.3,134,0,No Failure
1739,H31152,H,298.4,307.9,1948,21.4,136,0,No Failure
1740,H31153,H,298.5,307.9,1260,54.2,141,0,No Failure
1741,M16600,M,298.5,307.9,1640,33.1,146,0,No Failure
1742,M16601,M,298.5,308,1363,49.2,149,0,No Failure
1743,L48922,L,298.5,308,1379,49.6,152,0,No Failure
1744,M16603,M,298.5,308,1713,25.8,154,0,No Failure
1745,M16604,M,298.5,308,1461,51.9,157,0,No Failure
1746,L48925,L,298.5,308,1624,29.8,160,0,No Failure
1747,L48926,L,298.4,308,1526,41.1,162,0,No Failure
1748,L48927,L,298.4,307.9,2381,14.2,164,0,No Failure
1749,H31162,H,298.4,307.7,1626,31.1,166,0,Random Failures
1750,L48929,L,298.3,307.7,1576,33.8,171,0,No Failure
1751,M16610,M,298.4,307.8,1617,31.6,173,0,No Failure
1752,L48931,L,298.3,307.6,1942,20.6,176,0,No Failure
1753,L48932,L,298.2,307.6,1492,37.2,178,0,No Failure
1754,L48933,L,298.2,307.5,1470,51.3,180,0,No Failure
1755,M16614,M,298,307.4,1463,46.5,182,0,No Failure
1756,L48935,L,298,307.3,1424,46.5,185,0,No Failure
1757,M16616,M,298.1,307.4,1363,60.1,187,0,No Failure
1758,M16617,M,298.1,307.4,1335,56.2,190,0,No Failure
1759,L48938,L,298.1,307.4,1608,33.9,193,0,No Failure
1760,H31173,H,298,307.4,1606,35.2,195,0,No Failure
1761,L48940,L,298.1,307.5,1684,33.1,200,0,No Failure
1762,L48941,L,298.1,307.6,1950,20.3,202,0,No Failure
1763,H31176,H,298.2,307.6,1460,48.6,204,0,No Failure
1764,L48943,L,298.2,307.6,1511,31,209,1,Tool Wear Failure
1765,H31178,H,298.2,307.6,1318,55.7,0,0,No Failure
1766,L48945,L,298.2,307.6,1368,51.8,5,0,No Failure
1767,M16626,M,298.3,307.7,1717,27.1,7,0,No Failure
1768,M16627,M,298.3,307.7,1520,41.4,10,0,No Failure
1769,M16628,M,298.3,307.8,1485,42,13,0,No Failure
1770,L48949,L,298.4,307.9,1981,23.2,16,0,No Failure
1771,H31184,H,298.4,307.9,1605,31,18,0,No Failure
1772,L48951,L,298.4,307.9,1446,45.3,23,0,No Failure
1773,L48952,L,298.4,308,1508,47.9,25,0,No Failure
1774,L48953,L,298.5,308,1384,59.5,27,0,No Failure
1775,M16634,M,298.5,308,1519,37.3,29,0,No Failure
1776,L48955,L,298.5,308,1404,48.1,32,0,No Failure
1777,L48956,L,298.5,308.1,1564,31.1,34,0,No Failure
1778,H31191,H,298.6,308.2,1555,36.8,36,0,No Failure
1779,L48958,L,298.6,308.2,1325,54,41,0,No Failure
1780,M16639,M,298.6,308.2,1488,44,43,0,No Failure
1781,L48960,L,298.5,308.2,1595,32.3,46,0,No Failure
1782,L48961,L,298.5,308.1,1662,28.6,48,0,No Failure
1783,L48962,L,298.4,308,1571,37.4,50,0,No Failure
1784,H31197,H,298.3,308,1553,41,52,0,No Failure
1785,L48964,L,298.3,308,2886,3.8,57,1,Power Failure
1786,L48965,L,298.2,308,1538,38.2,59,0,No Failure
1787,L48966,L,298.4,308.2,1618,33,61,0,No Failure
1788,L48967,L,298.4,308.2,1364,45.9,63,0,No Failure
1789,L48968,L,298.3,308,1442,47.3,65,0,No Failure
1790,L48969,L,298.2,307.9,1313,67.3,67,1,Power Failure
1791,L48970,L,298.2,307.9,1847,23.6,69,0,No Failure
1792,L48971,L,298.1,307.8,1524,40.8,71,0,No Failure
1793,M16652,M,298.1,307.7,1445,48,73,0,No Failure
1794,L48973,L,298.1,307.8,1761,28.2,76,0,No Failure
1795,M16654,M,298.1,307.8,1514,43.5,78,0,No Failure
1796,M16655,M,298.1,307.7,1498,38.3,81,0,No Failure
1797,H31210,H,298.1,307.6,1542,37.1,84,0,No Failure
1798,M16657,M,298,307.6,1508,41.8,89,0,No Failure
1799,M16658,M,298,307.5,1431,52.9,92,0,No Failure
1800,M16659,M,298,307.5,1427,45.1,95,0,No Failure
1801,M16660,M,298,307.5,1524,36.3,98,0,No Failure
1802,M16661,M,298,307.5,1427,43.6,101,0,No Failure
1803,H31216,H,298.1,307.6,1496,44.1,104,0,No Failure
1804,L48983,L,298.1,307.7,1388,40.3,109,0,No Failure
1805,L48984,L,298.1,307.7,1495,48.1,111,0,No Failure
1806,H31219,H,298.1,307.7,1376,56.2,113,0,No Failure
1807,H31220,H,298,307.6,1593,32.2,118,0,No Failure
1808,L48987,L,298,307.6,1654,28.9,123,0,No Failure
1809,L48988,L,298.1,307.7,2567,12.8,125,1,Power Failure
1810,L48989,L,298.1,307.7,1767,27,127,0,No Failure
1811,L48990,L,298.1,307.6,1364,53.8,129,0,No Failure
1812,M16671,M,298.1,307.8,1569,31.2,131,0,No Failure
1813,L48992,L,298.2,307.8,1476,36.8,134,0,No Failure
1814,L48993,L,298.1,307.7,1479,45,136,0,No Failure
1815,L48994,L,298.1,307.7,1650,34.1,138,0,No Failure
1816,M16675,M,298.1,307.6,1565,36.3,140,0,No Failure
1817,L48996,L,298.1,307.6,1460,46.5,143,0,No Failure
1818,L48997,L,298.1,307.7,1664,27.6,145,0,No Failure
1819,M16678,M,298.1,307.7,1435,40.9,147,0,No Failure
1820,M16679,M,298.1,307.6,2066,19.2,150,0,No Failure
1821,L49000,L,298.1,307.5,1493,43.7,153,0,No Failure
1822,L49001,L,298.1,307.6,1354,43.3,155,0,No Failure
1823,L49002,L,298.1,307.6,1488,39.4,157,0,No Failure
1824,L49003,L,298.1,307.7,1414,48.7,159,0,No Failure
1825,L49004,L,298.1,307.5,1391,57.4,161,0,No Failure
1826,M16685,M,298,307.5,1784,27.8,163,0,No Failure
1827,H31240,H,297.8,307.3,1516,40.1,166,0,No Failure
1828,M16687,M,297.9,307.3,1420,47.8,171,0,No Failure
1829,L49008,L,297.8,307.2,1351,56.3,174,0,No Failure
1830,L49009,L,297.8,307.2,1880,23,176,0,No Failure
1831,L49010,L,297.8,307.3,1859,24,178,0,No Failure
1832,M16691,M,297.8,307.3,1315,54,180,0,No Failure
1833,M16692,M,297.8,307.4,1330,51.7,183,0,No Failure
1834,L49013,L,297.8,307.3,1327,61,186,1,Overstrain Failure
1835,L49014,L,297.8,307.2,1498,38.1,188,0,No Failure
1836,H31249,H,297.8,307.3,1555,35.8,190,0,No Failure
1837,L49016,L,297.7,307.2,1518,35.8,195,0,No Failure
1838,L49017,L,297.7,307.2,1392,43,197,0,No Failure
1839,M16698,M,297.8,307.2,1456,39.6,199,0,No Failure
1840,L49019,L,297.7,307.1,1715,30.2,0,0,No Failure
1841,M16700,M,297.7,307.2,1405,43.7,2,0,No Failure
1842,L49021,L,297.7,307.2,1668,37.8,5,0,No Failure
1843,H31256,H,297.7,307.1,1855,22.5,7,0,No Failure
1844,L49023,L,297.6,307.1,1496,39.2,12,0,No Failure
1845,M16704,M,297.6,307.1,1471,44.9,14,0,No Failure
1846,L49025,L,297.7,307.2,1444,40,17,0,No Failure
1847,H31260,H,297.7,307.3,1514,38.6,19,0,No Failure
1848,L49027,L,297.8,307.3,1412,50.7,24,0,No Failure
1849,H31262,H,297.7,307.2,1429,44.1,26,0,No Failure
1850,L49029,L,297.7,307.2,1668,32.7,31,0,No Failure
1851,M16710,M,297.7,307.2,1372,52.8,33,0,No Failure
1852,M16711,M,297.7,307.3,1365,49.2,36,0,No Failure
1853,M16712,M,297.6,307.1,1526,39.1,39,0,No Failure
1854,L49033,L,297.6,307.2,1486,40.6,42,0,No Failure
1855,M16714,M,297.6,307.2,1470,42.6,44,0,No Failure
1856,H31269,H,297.7,307.3,1249,62.8,47,0,No Failure
1857,M16716,M,297.8,307.4,1752,26.1,52,0,No Failure
1858,L49037,L,297.7,307.4,1643,36.5,55,0,No Failure
1859,M16718,M,297.8,307.4,1488,36.1,57,0,No Failure
1860,L49039,L,297.8,307.4,1355,45.8,60,0,No Failure
1861,L49040,L,297.8,307.6,1607,30.3,62,0,No Failure
1862,M16721,M,297.9,307.6,1609,30.3,64,0,No Failure
1863,L49042,L,297.9,307.7,1517,44.4,67,0,No Failure
1864,M16723,M,297.9,307.7,1517,39.5,69,0,No Failure
1865,L49044,L,297.9,307.7,1546,37.6,72,0,No Failure
1866,L49045,L,297.9,307.7,1567,34.7,74,0,No Failure
1867,M16726,M,298.1,307.9,1662,28.9,76,0,No Failure
1868,L49047,L,298.1,307.9,1502,41.8,79,0,No Failure
1869,L49048,L,298.3,308,1361,56.9,81,0,No Failure
1870,M16729,M,298.3,308.1,1630,32.7,83,0,No Failure
1871,L49050,L,298.3,308,1486,42.3,86,0,No Failure
1872,L49051,L,298.3,308.1,1840,21.5,88,0,No Failure
1873,L49052,L,298.3,308.1,1326,58.4,90,0,No Failure
1874,L49053,L,298.4,308.1,1367,57.8,92,0,No Failure
1875,L49054,L,298.4,308.1,1598,32.7,94,0,No Failure
1876,L49055,L,298.3,308,1363,50.1,96,0,No Failure
1877,L49056,L,298.3,308,1242,62,98,0,No Failure
1878,M16737,M,298.2,307.8,1566,33.8,100,0,No Failure
1879,M16738,M,298.1,307.7,1424,47.7,103,0,No Failure
1880,M16739,M,298.2,307.7,1608,33.8,106,0,No Failure
1881,L49060,L,298.1,307.7,1705,29.1,109,0,No Failure
1882,L49061,L,298,307.6,1548,45.8,111,0,No Failure
1883,M16742,M,298,307.6,1581,43.4,113,0,No Failure
1884,M16743,M,298,307.6,1472,46.7,116,0,No Failure
1885,M16744,M,298,307.6,1792,26,119,0,No Failure
1886,L49065,L,298,307.6,1683,32.8,122,0,No Failure
1887,L49066,L,297.9,307.6,1503,40.7,124,0,No Failure
1888,M16747,M,297.9,307.5,1642,32.4,126,0,No Failure
1889,M16748,M,297.8,307.4,1902,24.3,129,0,No Failure
1890,H31303,H,297.7,307.4,1432,40.2,132,0,No Failure
1891,L49070,L,297.8,307.4,1512,40.8,137,0,No Failure
1892,L49071,L,297.7,307.4,1764,29,139,0,No Failure
1893,M16752,M,297.8,307.4,1438,43.6,141,0,No Failure
1894,L49073,L,297.8,307.5,1631,29.9,144,0,No Failure
1895,H31308,H,297.9,307.5,1880,23.3,146,0,No Failure
1896,L49075,L,297.9,307.6,1344,54.3,151,0,No Failure
1897,L49076,L,297.9,307.5,1574,35.8,153,0,No Failure
1898,L49077,L,297.8,307.4,1418,41.2,155,0,No Failure
1899,L49078,L,297.8,307.5,1372,54.1,157,0,No Failure
1900,L49079,L,297.8,307.5,1388,40,159,0,No Failure
1901,H31314,H,297.9,307.6,1493,36,161,0,No Failure
1902,M16761,M,297.9,307.6,1505,40.1,166,0,No Failure
1903,L49082,L,298,307.6,1694,29.1,169,0,No Failure
1904,L49083,L,297.9,307.6,1968,20.4,171,0,No Failure
1905,M16764,M,298,307.6,1569,35.6,173,0,No Failure
1906,L49085,L,297.9,307.6,1687,29.1,176,0,No Failure
1907,L49086,L,297.9,307.6,1430,52.4,178,0,No Failure
1908,L49087,L,297.9,307.6,1504,42.4,180,0,No Failure
1909,L49088,L,297.9,307.6,1977,20.2,182,0,No Failure
1910,L49089,L,298,307.7,1435,45.6,184,0,No Failure
1911,H31324,H,298,307.7,1547,36.8,186,0,No Failure
1912,M16771,M,298.1,307.8,1316,57.2,191,0,No Failure
1913,M16772,M,298,307.7,1621,34.9,194,0,No Failure
1914,M16773,M,298,307.8,1492,40.2,197,0,No Failure
1915,L49094,L,298,307.7,1643,32.3,200,0,No Failure
1916,L49095,L,298,307.7,1492,38.7,202,0,No Failure
1917,L49096,L,298,307.7,1387,50.8,204,0,No Failure
1918,M16777,M,298.1,307.9,1463,47.3,206,0,No Failure
1919,M16778,M,298.1,307.9,1496,40,0,0,No Failure
1920,L49099,L,298.2,308,1658,30,3,0,No Failure
1921,L49100,L,298.1,307.9,2161,17.5,5,0,No Failure
1922,L49101,L,298.1,307.9,1665,32,7,0,No Failure
1923,L49102,L,298,307.8,1716,26.6,9,0,No Failure
1924,L49103,L,298,307.7,1529,34.1,11,0,No Failure
1925,L49104,L,297.9,307.7,1353,50.7,13,0,No Failure
1926,L49105,L,297.9,307.7,1537,37.7,15,0,No Failure
1927,L49106,L,298,307.7,1606,30.8,17,0,No Failure
1928,H31341,H,298,307.8,1314,47.8,19,0,No Failure
1929,L49108,L,298,307.8,1623,29.9,24,0,No Failure
1930,M16789,M,298,307.8,1483,50.9,26,0,No Failure
1931,M16790,M,298.1,307.9,1569,37,29,0,No Failure
1932,M16791,M,298.2,308,1969,21.7,32,0,No Failure
1933,M16792,M,298.1,308,1686,29.3,35,0,No Failure
1934,L49113,L,298.1,308,1638,35.1,38,0,No Failure
1935,L49114,L,298.1,307.9,1698,33.3,40,0,No Failure
1936,M16795,M,298.1,307.9,1377,55.1,42,0,No Failure
1937,M16796,M,298.1,308,2129,18.4,45,0,No Failure
1938,L49117,L,298.2,308,1411,42.4,48,0,No Failure
1939,L49118,L,298.1,307.9,1517,40.8,50,0,No Failure
1940,M16799,M,298.1,307.9,1303,53.9,52,0,No Failure
1941,L49120,L,298.1,307.9,1578,35.6,55,0,No Failure
1942,L49121,L,298.1,307.9,1425,58.2,57,0,No Failure
1943,L49122,L,298.1,308,1456,42.4,59,0,No Failure
1944,L49123,L,298.1,308,1704,30.9,61,0,No Failure
1945,L49124,L,298.1,308.1,1791,27.3,63,0,No Failure
1946,L49125,L,298.1,308.1,1616,32.8,65,0,No Failure
1947,L49126,L,298.2,308.1,1622,34.9,67,0,No Failure
1948,L49127,L,298.2,308.1,1462,49.9,69,0,No Failure
1949,L49128,L,298.1,308.1,1410,45.8,71,0,No Failure
1950,M16809,M,298.1,308,1543,41.9,73,0,No Failure
1951,M16810,M,298,307.9,1479,47.6,76,0,No Failure
1952,L49131,L,298,307.8,1839,22.7,79,0,No Failure
1953,L49132,L,298,307.8,1266,60.5,81,0,No Failure
1954,L49133,L,297.9,307.7,1593,34.9,83,0,No Failure
1955,L49134,L,297.9,307.8,1459,46.9,85,0,No Failure
1956,L49135,L,297.9,307.7,1308,55.2,87,0,No Failure
1957,M16816,M,297.9,307.7,1364,46.8,89,0,No Failure
1958,H31371,H,297.9,307.7,1618,35.9,92,0,No Failure
1959,H31372,H,297.9,307.7,1464,43.2,97,0,No Failure
1960,M16819,M,297.8,307.6,1352,49.4,102,0,No Failure
1961,L49140,L,297.8,307.6,1446,51.4,105,0,No Failure
1962,L49141,L,297.8,307.5,1448,51.2,107,0,No Failure
